id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50586260,Private room in Colonial-style Fort Dupont home near Fort Circle Park,375204509,Bungalow,,"River Terrace, Benning, Greenway, Dupont Park",38.87334,-76.93834,Private room,81,30,0,,,12,358,0,
50586282,Private room in Colonial-style Fort Dupont home near Fort Circle Park,375204509,Bungalow,,"River Terrace, Benning, Greenway, Dupont Park",38.87281,-76.9377,Private room,79,30,0,,,12,358,0,
50586298,Private room in Colonial-style Fort Dupont home near Fort Circle Park,375204509,Bungalow,,"River Terrace, Benning, Greenway, Dupont Park",38.87288,-76.93796,Private room,90,30,0,,,12,358,0,
50586329,Private room in Colonial-style Fort Dupont home near Fort Circle Park,375204509,Bungalow,,"River Terrace, Benning, Greenway, Dupont Park",38.87339,-76.93826,Private room,120,30,0,,,12,0,0,
50586349,Private room in Colonial-style Fort Dupont home near Fort Circle Park,375204509,Bungalow,,"River Terrace, Benning, Greenway, Dupont Park",38.87321,-76.93664,Private room,104,30,0,,,12,0,0,
50586390,Private room in Colonial-style Fort Dupont home near Fort Circle Park,375204509,Bungalow,,"River Terrace, Benning, Greenway, Dupont Park",38.87334,-76.93617,Private room,106,30,0,,,12,0,0,
50586433,Private room in Colonial-style Fort Dupont home near Fort Circle Park,375204509,Bungalow,,"River Terrace, Benning, Greenway, Dupont Park",38.87265,-76.93664,Private room,93,30,0,,,12,0,0,
50586772,Updated Columbia Heights townhome near the Green & Yellow lines,375204509,Bungalow,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92545,-77.02666,Entire home/apt,328,30,0,,,12,358,0,
50591856,Top-Floor Spacious and Sunny 1 Bedroom Apartment,227533209,Ajani,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92526,-77.03806,Entire home/apt,150,2,7,2022-02-28,0.99,1,233,7,
50592213,H Street Corridor Bungalow Steps From The Capitol,205105773,Anita,,"Union Station, Stanton Park, Kingman Park",38.90108,-76.9996,Entire home/apt,119,1,11,2022-02-22,1.27,3,8,11,
